Ward number ,Ward Name,Number of Connections,Consumption in ML,avg_household_size,income_level,water_efficiency
37,Yeshwanthpur,3215,60.53,6,Middle,0.87
38,H.M.T,3656,132.9,2,Low,0.83
39,Chokkasandra,5853,133.01,3,Middle,0.62
40,Doddabidirakalu,1,0.0,5,High,0.55
41,Peenya Industrial Area,8192,204.09,2,Low,0.79
42,Lakshmidevinagar,5147,106.77,5,High,0.78
43,Nandini Layout,6449,157.67,3,High,0.59
44,Marappanahalli,4441,122.21,3,High,0.53
45,Malleshwaram,3656,108.38,2,Middle,0.54
46,Jayachamarajendra Nagar,5326,182.14,3,Middle,1.0
47,Devarajeevanahalli,3745,79.61,6,High,0.89
48,Muneshwaranagar,2196,35.95,3,High,0.96
49,Lingarajapura,5742,95.74,5,Low,0.6
50,Benniganahalli,5859,361.68,5,Low,0.98
51,Vijinapura,6269,129.81,5,Middle,0.57
52,K.R.Puram,8885,168.31,5,Middle,0.75
53,Basavanapura,8382,205.69,6,Low,0.91
54,Hoodi,5171,314.45,4,High,0.67
55,Devasandra,3277,83.79,2,Middle,0.71
56,A. Narayanapura,8410,225.82,5,High,0.56
57,C.V. Ramannagar,3270,77.16,3,Low,0.56
58,Hosathippasandra,6022,151.59,5,Middle,0.81
59,Maruthiseva Nagar,5585,162.23,3,Middle,0.84
60,Sagayapuram,4264,96.18,3,Low,0.89
61,S.K. Garden,2881,77.56,5,Middle,0.78
62,Ramaswamy palya,3129,78.46,6,Low,0.82
63,Jayamahal,3076,121.23,3,Middle,0.51
64,Rajamahal,3692,90.22,3,Low,0.58
65,Kadumalleshwara,5605,159.48,5,Middle,0.99
66,Subramanyanagar,4282,128.47,3,High,0.54
67,Nagapura,5795,178.21,3,High,0.84
68,Mahalakshmipuram,5094,136.54,5,High,0.59
69,Laggere,10222,237.9,5,Middle,0.86
70,Rajagopalanagar,8295,188.28,2,Middle,0.85
71,Hegganahalli,8658,233.8,6,High,0.62
72,herohalli,10947,209.7,6,High,0.63
73,Kottigepalya,8468,202.67,3,Low,0.83
74,Shakthiganapathi nagar,6108,154.73,6,Low,0.7
75,Shankaramata,5211,146.31,3,Low,0.6
76,Gayathrinagar,4374,118.61,2,High,0.87
77,Dattathreya Temple,4481,117.05,5,High,0.58
78,Pulikeshinagar,3573,120.35,5,High,0.93
79,Sarvagnanagar,3435,78.55,5,Low,0.76
80,Hoysalanagar,5463,153.01,6,Middle,0.55
81,Vignananagar,7071,190.65,2,High,0.85
82,Garudacharpalya,4357,183.68,6,Middle,0.76
83,Kadugodi,1006,48.08,6,Middle,0.65
84,Hagadooru,2003,120.59,2,Middle,0.71
85,Doddanekkundi,5667,320.96,2,Low,0.65
85,Varthur,1353,94.25,2,Middle,0.63
86,Marathalli,4669,159.32,2,High,0.58
87,HAL Airport,4375,91.06,5,Low,0.68
88,Jeevanbhimanagar,6001,150.25,4,High,0.63
89,Jogupalya,4066,128.8,4,High,0.84
90,Ulsoor,5606,334.22,2,Low,0.84
91,Bharathinagar,2239,94.91,4,High,0.75
92,Shivajinagar,5147,203.15,4,High,0.89
93,Vasanthnagar,3736,263.92,2,Low,0.92
94,Gandhinagar,4774,355.9,4,High,0.79
95,Subhashnagar,3091,59.72,6,Middle,0.81
96,Okalipuram,3419,138.33,3,High,0.64
97,Dayanandanagar,3497,82.68,3,Middle,0.95
98,Prakashnagar,3074,80.42,2,High,0.51
99,Rajajinagar,3929,113.56,5,Low,0.67
100,Basaveshwaranagar,5767,166.1,2,Low,0.86
101,Kamakshipalya,3684,90.58,5,High,0.54
102,Vrushabhavathi Nagar,4175,98.63,3,Low,0.59
103,Kaveripura,5038,104.98,2,High,0.79
104,Govindrajnagara,2896,69.52,6,Low,0.78
105,Agrahara Dasarahalli,3212,90.9,4,Middle,0.87
106,Dr. Rajkumar Ward,2471,80.77,5,High,0.91
107,Shivanagar,2456,85.74,4,Middle,0.56
108,Srirammandira ward,4676,116.34,4,Middle,0.51
109,Chikpet,5606,108.7,2,High,0.84
110,Sampangiramnagar,3009,130.95,4,Middle,0.65
111,Shanthala Nagar,3777,223.37,6,High,0.81
112,Dommalur,4767,193.22,4,Middle,0.58
113,Konena Agrahara,3939,122.02,2,High,0.73
114,Agaram,2926,152.58,6,High,0.75
115,Vannarpet,5171,105.45,3,Low,0.79
116,Neelasandra,2644,60.85,4,High,0.76
117,Shanthinagar,6212,247.99,2,High,0.75
118,Sudamnagar,5143,98.22,3,Middle,0.67
119,Dharmarayaswamy Temple Ward,4979,99.6,3,High,0.54
120,Cottonpet,3071,62.74,5,Low,0.54
121,Binnypet,4575,97.01,6,Middle,0.72
122,Kempapura Agrahara,3912,86.46,4,Middle,0.68
123,Vijaynagar,3616,90.32,2,Low,0.76
124,Hosahalli,4510,112.02,5,Middle,0.65
125,Marenahalli,3408,92.27,6,Middle,0.84
126,Maruthi Mandira Ward,4024,101.94,5,Middle,0.93
127,Moodalapalya,5865,129.0,6,Middle,0.65
128,Nagarabhavi,10860,256.96,6,Low,0.6
129,Jnanabharathi ward,13853,335.74,4,Low,0.56
130,Ullalu,9090,193.71,6,Middle,0.81
131,Nayandanahalli,4367,112.63,5,Middle,0.72
132,Attiguppe,5484,160.78,6,Low,0.59
133,Hampinagar,3028,76.8,4,Low,0.83
134,Bapujinagar,4469,134.15,4,Low,0.57
135,Padarayanapura,2029,70.16,5,Middle,0.78
136,Jagareevanram Nagar,4823,127.44,3,Middle,0.76
137,Rayapuram,3460,79.12,3,High,0.87
138,Chalavadipalya,2391,52.22,6,Low,0.53
139,K.R. Market,2928,54.16,2,Middle,0.94
140,Chamrajpet,4779,170.96,6,Low,0.85
141,Azadnagar,4025,104.14,5,Middle,0.61
142,Sunkenahalli,2892,65.28,5,Low,0.59
143,Vishweshrapuram,4735,112.48,5,Middle,0.72
144,Siddapura,4483,122.14,5,High,0.91
145,Hombegowdanagar,6543,198.19,5,High,0.92
146,Lakkasandra,2834,98.06,4,Low,0.76
147,Adugodi,3420,106.88,3,Middle,0.93
148,Ejipura,4787,143.77,5,Middle,0.5
149,Varthur,3314,158.68,2,Low,0.52
150,Bellandur,5166,398.22,2,Middle,0.96
151,Koramangala,7159,309.19,2,Low,0.89
152,Sudduguntepalya,4076,152.55,2,Middle,0.73
153,Jayanagar,340,8.28,4,Low,0.88
153,Jayangar,3647,164.6,2,Middle,0.98
154,Basavanagudi,5801,137.45,5,Low,0.89
155,Hanumanthanagar,4142,88.45,6,Middle,0.92
156,Srinagar,5680,139.85,2,High,0.88
157,Gali Anjaneya swamy Temple Ward,5394,136.48,4,Middle,0.58
158,Deepanjali Nagar,2937,77.33,4,Low,0.92
159,Kengeri,14507,292.22,2,High,0.6
160,Rajarajeshwarinagar,16505,456.39,6,Middle,0.95
161,Hosakerehalli,7370,170.02,2,High,0.73
162,Girinagar,7740,175.45,4,Middle,0.84
163,Katriguppe,6534,139.75,3,High,0.75
164,Vidyapeetha Ward,4757,102.94,5,Low,0.55
165,Ganeshmandira Ward,4509,117.34,4,Middle,0.65
166,Karisandra,4639,118.67,2,Middle,0.99
167,Yadiyuru,4406,108.25,5,Low,0.98
168,Pattabhiramnagar,4306,148.22,2,High,0.66
169,Byrasandra,3845,119.02,2,Low,1.0
170,Jayanagar East,3889,106.02,3,Low,0.92
171,Gurappanapalya,4065,192.83,5,High,0.81
172,Madiwala,5580,171.58,5,Low,0.52
173,Jakkasandra,2856,137.82,3,Middle,0.95
174,HSR Layout,14147,605.66,4,Middle,0.78
175,Bommanahalli,6548,294.27,2,Middle,0.93
176,BTM Layout,7557,259.07,6,Low,0.92
177,J.P.Nagar,5627,176.45,2,Middle,0.92
178,Sarakki,5620,178.4,2,Middle,0.85
179,Shakambarinagar,3776,112.08,4,Middle,0.65
180,Banashankari Temple Ward,5182,117.08,2,Middle,0.67
181,Kumaraswamy Layout,8394,251.3,3,Middle,0.65
182,Padmanabhanagar,6044,176.67,3,Middle,0.51
183,Chikkallasandra,5184,133.99,5,Low,0.79
184,Uttarahalli,9278,302.36,6,Middle,0.85
185,Yelachenahalli,6759,183.62,2,Middle,0.93
186,Jaraganahalli,3051,86.44,2,High,0.57
187,Puttenahalli,4641,152.58,4,Low,0.77
188,Bilekahalli,4403,264.83,3,Low,0.5
189,Hongasandra,8368,360.67,6,Low,0.55
190,Mangammanapalya,3251,99.93,5,Low,0.53
191,Singasandra,3960,159.62,3,Middle,0.86
191,Singsandra,1008,42.89,5,Middle,0.54
192,Begur,6890,338.65,4,High,0.86
193,Arakere,10044,378.3,4,High,0.62
194,Gottigere,4047,96.53,2,Low,0.94
195,Konanakunte,10175,304.19,6,High,0.91
196,Anjanapura,8579,305.91,5,High,0.98
197,Vasanthapura,4303,142.42,3,Low,0.94
198,Hemmigepura,4549,103.98,4,Low,0.97
199,Synthetic Ward 1,9144,272.02,2,High,0.93
200,Synthetic Ward 2,7213,276.42,2,Middle,0.85
201,Synthetic Ward 3,305,422.59,5,High,0.59
202,Synthetic Ward 4,8379,442.38,4,High,0.64
203,Synthetic Ward 5,8797,363.58,6,Middle,0.61
204,Synthetic Ward 6,1141,296.42,4,Middle,0.8
205,Synthetic Ward 7,8182,318.01,5,Low,0.75
206,Synthetic Ward 8,8112,322.17,5,Low,0.93
207,Synthetic Ward 9,7881,99.54,4,High,0.98
208,Synthetic Ward 10,4222,128.9,5,Middle,0.7
209,Synthetic Ward 11,369,196.06,4,Low,0.75
210,Synthetic Ward 12,7694,77.06,3,High,0.99
211,Synthetic Ward 13,2219,363.73,4,Middle,0.64
212,Synthetic Ward 14,2327,297.25,4,High,0.9
213,Synthetic Ward 15,2927,53.57,5,Low,0.61
214,Synthetic Ward 16,868,165.06,5,Low,0.84
215,Synthetic Ward 17,8126,356.74,2,Middle,0.63
216,Synthetic Ward 18,8159,65.38,2,High,0.94
217,Synthetic Ward 19,7431,194.48,3,Middle,0.78
218,Synthetic Ward 20,879,48.12,2,Low,0.59
219,Synthetic Ward 21,3296,136.06,4,Low,0.61
220,Synthetic Ward 22,111,113.83,5,High,0.75
221,Synthetic Ward 23,8878,414.58,2,High,0.98
222,Synthetic Ward 24,8598,386.42,2,High,0.88
223,Synthetic Ward 25,2421,407.85,3,Middle,0.74
224,Synthetic Ward 26,2869,34.91,3,High,0.67
225,Synthetic Ward 27,3132,180.46,4,High,0.77
226,Synthetic Ward 28,110,160.02,5,Low,0.87
227,Synthetic Ward 29,9625,255.94,3,Low,0.89
228,Synthetic Ward 30,7739,411.16,2,High,0.66
229,Synthetic Ward 31,5321,64.92,5,High,0.86
230,Synthetic Ward 32,7576,400.33,5,Low,0.83
231,Synthetic Ward 33,6080,302.54,2,High,0.98
232,Synthetic Ward 34,1173,148.16,3,Middle,0.97
233,Synthetic Ward 35,6163,335.39,2,Middle,0.89
234,Synthetic Ward 36,1563,264.5,5,Middle,0.86
235,Synthetic Ward 37,326,226.9,6,High,0.64
236,Synthetic Ward 38,1475,112.82,6,Low,0.92
237,Synthetic Ward 39,7880,395.16,4,High,0.71
238,Synthetic Ward 40,2154,36.18,2,High,0.64
239,Synthetic Ward 41,5876,375.92,2,Low,0.69
240,Synthetic Ward 42,4489,252.64,4,Low,0.92
241,Synthetic Ward 43,6801,326.15,4,Low,0.57
242,Synthetic Ward 44,3915,441.83,4,Middle,0.73
243,Synthetic Ward 45,7407,197.47,5,High,0.75
244,Synthetic Ward 46,8408,165.22,2,Low,0.52
245,Synthetic Ward 47,8744,321.43,5,High,0.6
246,Synthetic Ward 48,693,73.59,4,Middle,0.91
247,Synthetic Ward 49,5769,322.91,2,Middle,0.92
248,Synthetic Ward 50,6805,407.36,5,Low,0.65
249,Synthetic Ward 51,7560,219.92,5,Low,0.94
250,Synthetic Ward 52,468,81.88,4,High,0.89
251,Synthetic Ward 53,4479,477.06,2,Low,0.71
252,Synthetic Ward 54,4728,57.38,4,High,0.87
253,Synthetic Ward 55,6930,45.27,2,Low,0.98
254,Synthetic Ward 56,8487,418.21,6,High,0.73
255,Synthetic Ward 57,3564,448.12,3,High,0.62
256,Synthetic Ward 58,6373,98.13,3,High,0.97
257,Synthetic Ward 59,2911,95.52,3,High,0.8
258,Synthetic Ward 60,5585,393.47,4,Middle,0.55
259,Synthetic Ward 61,7541,79.81,6,High,0.79
260,Synthetic Ward 62,4823,261.01,2,Low,0.75
261,Synthetic Ward 63,3279,495.61,5,Middle,0.93
262,Synthetic Ward 64,3166,411.76,2,Middle,0.77
263,Synthetic Ward 65,6727,227.09,5,High,0.63
264,Synthetic Ward 66,5748,493.33,2,Middle,0.84
265,Synthetic Ward 67,7487,405.19,6,High,0.77
266,Synthetic Ward 68,1122,485.0,5,Low,0.62
267,Synthetic Ward 69,9415,160.39,4,High,0.79
268,Synthetic Ward 70,6473,482.41,2,Middle,0.91
269,Synthetic Ward 71,4450,119.81,2,Low,0.51
270,Synthetic Ward 72,4773,418.38,5,High,0.82
271,Synthetic Ward 73,536,379.35,4,Low,0.67
272,Synthetic Ward 74,2752,357.35,4,Low,0.65
273,Synthetic Ward 75,9038,43.53,6,Middle,0.7
274,Synthetic Ward 76,9503,422.78,4,Low,0.67
275,Synthetic Ward 77,7019,478.78,4,Middle,0.92
276,Synthetic Ward 78,4506,301.41,4,Low,0.64
277,Synthetic Ward 79,5752,34.04,3,High,0.87
278,Synthetic Ward 80,5892,349.16,6,Low,0.55
279,Synthetic Ward 81,4273,263.9,2,High,0.98
280,Synthetic Ward 82,3650,214.97,5,High,0.81
281,Synthetic Ward 83,3621,312.36,2,Low,0.85
282,Synthetic Ward 84,9423,127.64,6,High,0.65
283,Synthetic Ward 85,5389,56.75,5,Low,0.71
284,Synthetic Ward 86,9358,295.33,6,Low,0.61
285,Synthetic Ward 87,7854,365.77,4,High,0.97
286,Synthetic Ward 88,3488,129.15,5,High,0.74
287,Synthetic Ward 89,5835,299.09,4,Middle,0.82
288,Synthetic Ward 90,3969,231.54,2,High,0.87
289,Synthetic Ward 91,7911,230.16,2,Middle,0.69
290,Synthetic Ward 92,7407,145.78,5,High,0.86
291,Synthetic Ward 93,9025,465.95,5,Low,0.84
292,Synthetic Ward 94,599,441.23,6,High,0.85
293,Synthetic Ward 95,4625,188.31,6,Low,0.74
294,Synthetic Ward 96,4580,207.24,4,Low,0.69
295,Synthetic Ward 97,8247,289.76,5,Low,0.61
296,Synthetic Ward 98,3285,433.18,2,Middle,0.91
297,Synthetic Ward 99,1937,390.39,6,High,0.8
298,Synthetic Ward 100,5190,132.59,6,Low,0.72
299,Synthetic Ward 101,9225,465.94,2,Low,0.97
300,Synthetic Ward 102,3958,20.43,6,Middle,0.52
301,Synthetic Ward 103,7115,465.59,4,High,0.93
302,Synthetic Ward 104,3587,246.72,5,High,1.0
303,Synthetic Ward 105,177,496.65,2,Middle,0.94
304,Synthetic Ward 106,1732,149.32,5,Middle,0.91
305,Synthetic Ward 107,9882,92.21,6,High,0.69
306,Synthetic Ward 108,2318,317.9,6,Middle,0.62
307,Synthetic Ward 109,5429,51.32,2,High,0.87
308,Synthetic Ward 110,5919,316.85,4,High,0.65
309,Synthetic Ward 111,1931,318.65,3,Low,0.59
310,Synthetic Ward 112,2566,90.57,2,Low,0.89
311,Synthetic Ward 113,9049,205.12,3,High,0.66
312,Synthetic Ward 114,7012,311.53,3,High,0.96
313,Synthetic Ward 115,2337,118.31,4,High,0.92
314,Synthetic Ward 116,8449,77.16,3,High,0.92
315,Synthetic Ward 117,6064,387.77,3,High,0.89
316,Synthetic Ward 118,2813,97.57,4,High,0.94
317,Synthetic Ward 119,9535,96.97,3,Middle,0.9
318,Synthetic Ward 120,7076,170.86,3,High,0.8
319,Synthetic Ward 121,6732,12.04,3,Middle,0.65
320,Synthetic Ward 122,2054,30.56,2,Middle,0.94
321,Synthetic Ward 123,4778,451.2,2,High,0.92
322,Synthetic Ward 124,6691,79.31,2,High,0.74
323,Synthetic Ward 125,9444,111.14,4,Middle,0.52
324,Synthetic Ward 126,2954,44.32,6,Middle,0.82
325,Synthetic Ward 127,4704,228.82,3,High,0.53
326,Synthetic Ward 128,5825,452.03,3,High,0.96
327,Synthetic Ward 129,8758,146.03,4,Middle,0.98
328,Synthetic Ward 130,6570,148.46,3,Middle,0.59
329,Synthetic Ward 131,6021,244.79,2,Middle,0.84
330,Synthetic Ward 132,5786,319.81,6,Low,0.55
331,Synthetic Ward 133,1775,23.03,5,Middle,0.86
332,Synthetic Ward 134,6338,308.74,3,Low,0.67
333,Synthetic Ward 135,5691,375.1,2,High,0.84
334,Synthetic Ward 136,1225,93.2,5,High,0.69
335,Synthetic Ward 137,6620,270.19,6,Middle,0.57
336,Synthetic Ward 138,6863,11.33,5,High,0.7
337,Synthetic Ward 139,9444,68.79,2,High,0.56
338,Synthetic Ward 140,9768,296.85,5,High,0.79
339,Synthetic Ward 141,8285,239.41,4,High,0.52
340,Synthetic Ward 142,1012,372.47,5,Low,0.76
341,Synthetic Ward 143,9095,163.03,3,Low,0.94
342,Synthetic Ward 144,3496,199.8,3,Middle,0.92
343,Synthetic Ward 145,7663,394.27,4,Middle,0.94
344,Synthetic Ward 146,4778,395.28,2,Middle,0.96
345,Synthetic Ward 147,610,454.42,3,High,0.55
346,Synthetic Ward 148,3960,118.38,6,High,0.56
347,Synthetic Ward 149,1090,94.92,3,Low,0.78
348,Synthetic Ward 150,1991,148.04,3,Low,0.95
349,Synthetic Ward 151,4512,69.38,2,Middle,0.99
350,Synthetic Ward 152,5572,53.76,5,Low,0.52
351,Synthetic Ward 153,6669,140.33,3,Low,0.68
352,Synthetic Ward 154,9842,186.17,4,Low,0.61
353,Synthetic Ward 155,3751,75.59,5,Low,0.88
354,Synthetic Ward 156,7547,489.88,6,Low,0.82
355,Synthetic Ward 157,6144,314.01,2,Middle,0.56
356,Synthetic Ward 158,4618,238.63,6,Middle,0.74
357,Synthetic Ward 159,5678,187.01,5,Low,0.84
358,Synthetic Ward 160,2170,203.63,5,Middle,0.89
359,Synthetic Ward 161,2288,381.63,5,High,0.51
360,Synthetic Ward 162,1979,333.39,6,Low,0.95
361,Synthetic Ward 163,1383,443.76,5,High,0.78
362,Synthetic Ward 164,4075,130.78,6,Middle,0.91
363,Synthetic Ward 165,2394,442.48,5,Middle,0.9
364,Synthetic Ward 166,1544,333.98,4,High,0.59
365,Synthetic Ward 167,922,361.6,5,Middle,0.56
366,Synthetic Ward 168,6911,49.75,6,Low,0.86
367,Synthetic Ward 169,1022,410.77,3,High,0.58
368,Synthetic Ward 170,6936,113.03,5,Low,0.92
369,Synthetic Ward 171,1247,176.64,3,High,0.86
370,Synthetic Ward 172,5468,189.51,4,Middle,0.92
371,Synthetic Ward 173,8353,279.16,2,High,0.65
372,Synthetic Ward 174,6236,203.06,4,High,0.66
373,Synthetic Ward 175,8878,384.47,5,Low,0.84
374,Synthetic Ward 176,4706,489.71,3,Middle,0.52
375,Synthetic Ward 177,3009,134.36,3,Low,0.86
376,Synthetic Ward 178,6839,378.63,6,Middle,0.92
377,Synthetic Ward 179,8525,297.87,3,Low,0.71
378,Synthetic Ward 180,279,155.09,6,High,0.88
379,Synthetic Ward 181,7824,469.24,2,Low,0.59
380,Synthetic Ward 182,6679,307.33,5,Middle,0.66
381,Synthetic Ward 183,6522,190.78,6,Middle,0.99
382,Synthetic Ward 184,266,388.35,2,High,0.99
383,Synthetic Ward 185,2048,250.23,3,Middle,0.76
384,Synthetic Ward 186,4873,259.47,3,Low,0.97
385,Synthetic Ward 187,6988,64.75,2,High,0.76
386,Synthetic Ward 188,291,82.54,3,Middle,0.65
387,Synthetic Ward 189,2177,349.68,2,Middle,0.63
388,Synthetic Ward 190,5318,264.63,6,Low,0.96
389,Synthetic Ward 191,2871,234.51,6,Low,0.59
390,Synthetic Ward 192,1275,441.74,2,High,0.79
391,Synthetic Ward 193,8857,314.1,6,Middle,0.78
392,Synthetic Ward 194,1565,385.09,6,Low,0.87
393,Synthetic Ward 195,7142,457.28,6,High,0.75
394,Synthetic Ward 196,7805,338.43,4,Middle,0.64
395,Synthetic Ward 197,7615,462.37,5,Middle,0.58
396,Synthetic Ward 198,7912,497.8,3,High,0.81
397,Synthetic Ward 199,3304,415.68,4,High,0.86
398,Synthetic Ward 200,3082,381.37,6,Low,0.78
399,Synthetic Ward 201,2942,325.44,2,Middle,0.87
400,Synthetic Ward 202,9183,142.27,6,Middle,0.57
401,Synthetic Ward 203,566,188.45,5,Middle,0.94
402,Synthetic Ward 204,4888,119.33,6,High,0.79
403,Synthetic Ward 205,1875,274.38,2,Low,0.56
404,Synthetic Ward 206,5810,206.64,5,Middle,0.73
405,Synthetic Ward 207,5534,21.04,6,High,0.92
406,Synthetic Ward 208,5230,387.01,5,Middle,0.95
407,Synthetic Ward 209,9497,134.51,3,Low,0.63
408,Synthetic Ward 210,6423,164.47,3,Middle,0.86
409,Synthetic Ward 211,9150,173.34,6,Low,0.55
410,Synthetic Ward 212,7871,112.17,5,Low,0.52
411,Synthetic Ward 213,7682,428.92,2,Middle,0.78
412,Synthetic Ward 214,4097,377.74,6,Middle,0.85
413,Synthetic Ward 215,5456,262.9,3,Low,0.9
414,Synthetic Ward 216,8590,224.17,3,High,0.67
415,Synthetic Ward 217,2866,189.83,6,Low,0.5
416,Synthetic Ward 218,6536,40.94,5,Middle,0.74
417,Synthetic Ward 219,5129,273.55,3,Middle,0.51
418,Synthetic Ward 220,5030,376.19,5,High,0.55
419,Synthetic Ward 221,3805,447.83,3,Low,0.66
420,Synthetic Ward 222,715,248.31,3,Low,0.72
421,Synthetic Ward 223,2297,498.32,4,Low,0.64
422,Synthetic Ward 224,4199,41.92,3,Middle,0.79
423,Synthetic Ward 225,9958,336.86,2,Low,0.53
424,Synthetic Ward 226,8197,382.11,6,High,0.57
425,Synthetic Ward 227,7022,200.3,6,Middle,0.85
426,Synthetic Ward 228,1378,369.3,5,Middle,0.57
427,Synthetic Ward 229,9833,182.42,3,Low,0.82
428,Synthetic Ward 230,7803,51.6,2,High,0.53
429,Synthetic Ward 231,2900,311.06,5,Middle,0.7
430,Synthetic Ward 232,3765,480.87,4,Middle,0.59
431,Synthetic Ward 233,9006,242.67,5,Low,0.55
432,Synthetic Ward 234,4066,191.89,5,Low,0.78
433,Synthetic Ward 235,8404,216.09,3,High,0.96
434,Synthetic Ward 236,8198,112.15,4,Low,0.53
435,Synthetic Ward 237,5791,45.38,5,High,0.71
436,Synthetic Ward 238,7276,393.04,2,Middle,0.85
437,Synthetic Ward 239,7434,86.07,2,High,0.73
438,Synthetic Ward 240,725,246.44,6,High,0.9
439,Synthetic Ward 241,5511,55.94,4,High,0.59
440,Synthetic Ward 242,9737,164.55,4,Middle,0.98
441,Synthetic Ward 243,2024,229.06,6,Low,0.69
442,Synthetic Ward 244,1771,496.76,5,Middle,0.67
443,Synthetic Ward 245,1418,198.58,4,Low,0.94
444,Synthetic Ward 246,5356,138.89,2,High,0.78
445,Synthetic Ward 247,2583,312.33,2,High,0.76
446,Synthetic Ward 248,9127,296.12,3,High,0.86
447,Synthetic Ward 249,5219,59.59,4,High,0.79
448,Synthetic Ward 250,7740,187.56,5,High,0.58
449,Synthetic Ward 251,9320,81.51,6,Low,0.84
450,Synthetic Ward 252,8028,217.94,6,Low,0.57
451,Synthetic Ward 253,1696,472.56,5,High,0.9
452,Synthetic Ward 254,6297,112.82,3,Middle,0.99
453,Synthetic Ward 255,5046,210.78,6,Middle,0.69
454,Synthetic Ward 256,665,493.4,4,High,0.72
455,Synthetic Ward 257,6098,308.77,3,Low,0.52
456,Synthetic Ward 258,4816,154.44,4,Middle,0.51
457,Synthetic Ward 259,6296,163.97,2,Middle,0.96
458,Synthetic Ward 260,3992,81.45,3,Middle,0.56
459,Synthetic Ward 261,4642,322.3,6,High,0.72
460,Synthetic Ward 262,4403,378.27,3,Middle,0.91
461,Synthetic Ward 263,7463,153.96,3,Middle,0.94
462,Synthetic Ward 264,2299,449.7,3,Middle,0.76
463,Synthetic Ward 265,476,142.42,3,Middle,0.78
464,Synthetic Ward 266,6863,405.91,4,Low,0.83
465,Synthetic Ward 267,3373,355.74,2,High,0.98
466,Synthetic Ward 268,2067,71.77,5,High,0.8
467,Synthetic Ward 269,8146,174.84,3,Low,0.78
468,Synthetic Ward 270,5514,464.9,6,Low,0.51
469,Synthetic Ward 271,8037,184.55,3,High,0.54
470,Synthetic Ward 272,595,48.16,6,Middle,0.79
471,Synthetic Ward 273,2648,281.59,4,Middle,0.97
472,Synthetic Ward 274,4737,73.06,6,High,0.93
473,Synthetic Ward 275,8753,195.42,5,Middle,0.99
474,Synthetic Ward 276,7048,470.34,2,Low,0.76
475,Synthetic Ward 277,3455,127.9,6,Middle,0.89
476,Synthetic Ward 278,2659,91.91,6,Middle,0.92
477,Synthetic Ward 279,6506,49.14,2,Middle,0.82
478,Synthetic Ward 280,6206,61.83,5,High,0.67
479,Synthetic Ward 281,4665,159.21,3,Low,0.73
480,Synthetic Ward 282,1738,378.79,6,Middle,0.93
481,Synthetic Ward 283,7690,420.0,2,High,0.65
482,Synthetic Ward 284,8414,418.07,4,Middle,0.96
483,Synthetic Ward 285,7523,159.58,2,Low,0.61
484,Synthetic Ward 286,633,226.12,4,Middle,0.87
485,Synthetic Ward 287,4456,381.22,5,Low,0.82
486,Synthetic Ward 288,7970,66.75,3,Middle,0.87
487,Synthetic Ward 289,2462,18.34,2,Low,0.72
488,Synthetic Ward 290,3455,292.67,6,Middle,0.97
489,Synthetic Ward 291,5353,289.04,5,Low,0.82
490,Synthetic Ward 292,2901,76.49,2,Middle,0.64
491,Synthetic Ward 293,9772,493.82,6,Middle,0.82
492,Synthetic Ward 294,9855,329.48,2,High,0.64
493,Synthetic Ward 295,157,440.54,4,High,0.65
494,Synthetic Ward 296,7497,11.7,2,Low,0.7
